"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"Team_SMSD","DC, Playstation - Programmer Sumitomo/Zimmer/Hiroyuki “Stan” RBX & BLENDER| <U+0001F437><U+0001F409><U+0001F1EF><U+0001F1F2> - Mute: #SpoilMeBroly #SpoilMeHunter #SpoilMeJoJo Avi by - ???",93024,410,83633,0,NA,"TEAM SMSD {Cultured Swine}",2016-12-23 04:03:39,FALSE,FALSE,"Team_SMSD","E","en","812146626735337472",15,FALSE,"http://pbs.twimg.com/profile_images/1085721520192729088/vhEaSgwA_normal.jpg"
"NannerCoco","-Chris Rudolph-

Doodle draws and poodle paws https://t.co/OQO2jjJNUr  Contact: nannercocoshop@outlook.com",5319,853,6536,512,"https://t.co/fr5uq8F9QS","NannerCoco - Comms are ON HOLD",2010-04-10 01:54:27,FALSE,FALSE,"NannerCoco","Central NY, USA","en","131362116",8,FALSE,"http://pbs.twimg.com/profile_images/1089068451346505728/sxqrvGxU_normal.jpg"
"jakiashamell","",57561,1224,1138,697,NA,"Jakia <U+0001F5A4>",2012-05-12 16:32:31,FALSE,FALSE,"jakiashamell","Newport News, VA","en","578280123",5,FALSE,"http://pbs.twimg.com/profile_images/1091540797646872576/R489qvFm_normal.jpg"
"KaelanRhy","Queer romance author<U+0001F308>#ActuallyAutistic #Ace #Aro #Queer AF & #Kinky #EDS #Fibro Non-Binary, mixed-race Xie/Xem/Xyr/Mx Blood-Bound available <U+27A1> https://t.co/0AJsUA6i6U",113268,3884,176332,635,"https://t.co/VjYfdGown4","Kaelan Rhywiol-Semi-Hiatus",2015-01-14 18:10:27,FALSE,FALSE,"KaelanRhy","Southern Ontario, Canada","en","2978455883",278,FALSE,"http://pbs.twimg.com/profile_images/911359409414078464/hYiJ6XJU_normal.jpg"
"IHEN03","Indiana Healthcare Executives Network",145,95,89,130,"https://t.co/WPgg1kAws1","IN Healthcare Execs",2016-02-03 18:38:24,FALSE,FALSE,"IHEN03","Indiana, USA","en","694953095369879552",3,FALSE,"http://pbs.twimg.com/profile_images/696825786792333312/ZrvTRD1q_normal.jpg"
"Junnie_Cynthia","22 and feeling blue",8966,102,1001,78,NA,"sockhead <U+0001F52A>",2011-04-22 18:46:23,FALSE,FALSE,"Junnie_Cynthia","texas","en","286303528",0,FALSE,"http://pbs.twimg.com/profile_images/1096697642984398848/FMbBJMkw_normal.jpg"
"yanmotionless","Rayna/Yan | 20 | A meme that loves metal music too much and has big dreams of becoming a Actress.",7283,78,18609,299,NA,"Yan",2014-03-26 10:45:18,FALSE,FALSE,"yanmotionless","Texas, USA","en","2412424069",0,FALSE,"http://pbs.twimg.com/profile_images/1103057366038339586/I2IFarOU_normal.jpg"
"BookingAdviser1","Compare all the top travel sites in one simple search and find just what you’re after. No booking fee, no mark-up. Find the best deal.",767,5,0,6,"https://t.co/Zrcrvbh6U3","Booking Adviser",2018-03-16 17:45:09,FALSE,FALSE,"BookingAdviser","South Carolina, USA","en","974703129395716096",0,FALSE,"http://pbs.twimg.com/profile_images/974706235986628609/Ws-wlB4s_normal.jpg"
"curlychels_","cash money records taking over for the ‘99 & the 2000",4238,493,5437,529,NA,"Chelsea G.",2014-05-21 05:05:11,FALSE,FALSE,"curlychels_","Indiana, USA","en","2511639470",0,FALSE,"http://pbs.twimg.com/profile_images/1100907635778482176/a-T_FoPU_normal.jpg"
"TammStevens","You cant depend on your judgment when your imagination is out of focus.",30988,836,1,535,NA,"Tami Stevens",2017-03-12 20:23:10,FALSE,FALSE,"TammStevens","Cedar Rapids","en","841021770194862081",5,FALSE,"http://pbs.twimg.com/profile_images/841264472090017793/UpLQQ1W-_normal.jpg"
"ErinThomasWx","Forecaster/Traffic Anchor at @NewsChannelNine and @FOX_Chattanooga | Formerly @WTGSFox28, @FOXnashville (intern) | Opinions are my own.",11335,1845,6994,576,"https://t.co/zFETyL7SLW","Erin Thomas",2013-10-19 15:57:36,FALSE,TRUE,"ErinThomasWx","Chattanooga, TN","en","1972063759",43,FALSE,"http://pbs.twimg.com/profile_images/1006484919017705473/0bEJMZOi_normal.jpg"
"stanmonstaxson","<U+300E> <U+0001D62E><U+0001D630><U+0001D62F><U+0001D634><U+0001D635><U+0001D622> <U+0001D639> <U+300F> <U+22C8> 8 3 2018 <U+21FE> 11 30 2018 <U+22C8> Send me pics of your cat or dog *<U+22B9>°. <U+1D00><U+1D1B><U+1D07><U+1D07><U+1D22> <U+2661>° <U+1D05>-<U+1D04><U+0280><U+1D1C><U+0274><U+1D04><U+029C>",29077,2159,22141,1556,NA,"<U+0001F4CC><U+2661> <U+0001F40A><U+0001F3C6><U+0001F3C6><U+0001F3C6><U+0001F3C6>",2016-05-04 16:38:59,FALSE,FALSE,"stanmonstaxson","California, USA","en","727900340394151937",10,FALSE,"http://pbs.twimg.com/profile_images/1102402473879252992/cWXKWFm5_normal.jpg"
"rayann_nicole88","",5698,904,765,2025,NA,"....",2013-09-23 13:33:16,FALSE,FALSE,"rayann_nicole88","Indianapolis, In","en","1897332350",26,FALSE,"http://pbs.twimg.com/profile_images/1095359234131267584/V53CXp_n_normal.jpg"
"crowmogh","Lefty Asian born ex teacher. Retweets not always an endorsment. No I dont wear open toed sandals. #remain ..Lost in Kernow.",158002,3389,74667,3596,NA,"Cookie Munster",2009-05-05 16:57:05,FALSE,FALSE,"crowmogh","CORNWALL","en","37965132",166,FALSE,"http://pbs.twimg.com/profile_images/804611774070652928/ArJyln6V_normal.jpg"
"tattedtiara_","| I always wanna die (sometimes) <U+0001F940> | Butterflies can’t see their wings. They can’t see their true beauty but everyone else can. People are like that too <U+0001F98B> |",3233,109,7776,187,NA,"<U+0001F48E><U+0001F451>",2018-01-19 23:16:01,FALSE,FALSE,"tattedtiara_","Trinidad and Tobago","en","954492670713450498",0,FALSE,"http://pbs.twimg.com/profile_images/1084999237388156932/xhO2Zdzv_normal.jpg"
"_godisdgreatest","#BillionaireBefore30",38380,1099,21,1059,NA,"Valentine Ikere",2010-12-01 15:38:41,FALSE,FALSE,"_godisdgreatest","Pluto","en","221774349",13,FALSE,"http://pbs.twimg.com/profile_images/1092938375865061376/vCkL6Hiv_normal.jpg"
"dimples93forlif","live each day to it's fullest because you never know what tomorrow may bring . 22 , taken",1409,62,3911,111,NA,"Lily Droneburg",2013-01-23 22:49:27,FALSE,FALSE,"dimples93forlif","Jefferson","en","1115467166",0,FALSE,"http://pbs.twimg.com/profile_images/702906886035791872/qzUZSsod_normal.jpg"
"hannaReb3L","I'm only on twittr to get jokes and tell lies. Don't ask me about what I said yesterday, new day new brain waves. Plastic Surgeon M.D, PHd, B.S. <U+0001F1EF><U+0001F1F2><U+0001F6A3><U+0001F3FD><U+200D><U+2640><U+FE0F><U+0001F1F1><U+0001F1E8>",237488,1280,2228,883,"https://t.co/sNBjavLVsG","absolutely not a fake Doctor M.D.",2009-06-02 00:56:41,FALSE,FALSE,"hannaReb3L","Saint Lucia","en","44020414",17,FALSE,"http://pbs.twimg.com/profile_images/1079719146177392641/6zkeIkfw_normal.jpg"
"NakitaMathis","I am determined, confident, and I care",18570,354,5,750,NA,"Nakita Mathis",2009-04-09 05:27:31,FALSE,FALSE,"NakitaMathis","Ohio","en","29928744",2,FALSE,"http://pbs.twimg.com/profile_images/1097679865350901762/7o4vMYGd_normal.jpg"
"CONSCIOUSBEATS2","Instant Beats: https://t.co/f6ROBxScTa YouTube:https://t.co/i0QQ4YObJf Mobile Phone: https://t.co/0PN2KXBUVu [CNKPRODUCTIONS12@GMAIL.COM]",600897,6106,6,22978,"http://t.co/VcWBHAdEls","@CONSCIOUSBEATS2",2012-04-23 05:33:56,FALSE,FALSE,"CONSCIOUSBEATS2","North Carolina, USA","en","560935908",64,FALSE,"http://pbs.twimg.com/profile_images/656404894878969856/r8lV3LgM_normal.jpg"
"Chris_Rows","Chap",1102,22,160,140,NA,"Chris Eff",2010-11-14 18:44:54,FALSE,FALSE,"Chris_Rows","Berkshire","en","215718188",0,FALSE,"http://pbs.twimg.com/profile_images/1101221194450300928/TGwc6ysS_normal.jpg"
"JaniceW31102694","Godly woman",809,1,0,12,NA,"Janice Walton",2019-03-01 04:06:49,FALSE,FALSE,"JaniceW31102694","Georgia","en","1101332938346713089",0,FALSE,"http://pbs.twimg.com/profile_images/1101345740650176515/THPgr4_3_normal.jpg"
"_WxPhil_","Student in climate/paleoclimate, infatuated with weather, science, outdoors, exercise, baseball, & chess. I value free thought, health, love, & life in general.",3597,353,4320,343,NA,"Philip Wiegand",2014-02-06 19:34:04,FALSE,FALSE,"_WxPhil_","Cabin John MD","en","2328707182",23,FALSE,"http://pbs.twimg.com/profile_images/1079994089809031168/WDwKmVUe_normal.jpg"
"bethanyboo94","Mommy to Kimberley Amira Louise. 15.02.18 - Homebird half of the time, nomad the other. SAHM that loves to cook, keep fit & spend time with friends and family.",13590,448,3907,363,NA,"Bethany Boo Corbin",2012-02-14 13:48:02,FALSE,FALSE,"bethanyboo94","Guernsey","en","492227415",8,FALSE,"http://pbs.twimg.com/profile_images/1097490247749910528/4rGO3o_e_normal.jpg"
"those_angeleyes","22 | My Viking King - Luke<U+0001F5A4> Step Mummy to Kade <U+0001F996> & fur baby Gizmo <U+0001F43E> Horror, Metal, Tattooed Living Dead Girl |",12397,277,9751,360,NA,"<U+0001D516><U+0001D525><U+0001D522><U+0001D52F><U+0001D52F><U+0001D526><U+0001D522> <U+263E> <U+00016910>",2014-04-09 18:48:16,FALSE,FALSE,"those_angeleyes","Wonderland","en","2472253967",3,FALSE,"http://pbs.twimg.com/profile_images/1102574630345367552/bZTI6_Is_normal.jpg"
"BunnyDae","I'm the black Martha Stewart with a filthy mouth.",150712,3430,1146,752,NA,"little bunnz",2009-03-23 15:27:38,FALSE,FALSE,"BunnyDae","Chicago","en","26021437",80,FALSE,"http://pbs.twimg.com/profile_images/1099570387271208960/r3mKXkhm_normal.jpg"
"silk_serif","A Book Blog by Debbie",2508,297,3131,474,"https://t.co/5lf62RCGIz","<U+2764><U+FE0F> Debbie <U+2764><U+FE0F>",2015-03-28 19:28:17,FALSE,FALSE,"silk_serif","Ontario, Canada","en","3124564983",15,FALSE,"http://pbs.twimg.com/profile_images/962058991655313408/10Ol7OFZ_normal.jpg"
"delightfullyjef","be the best you",2273,64,3652,121,NA,"Jef",2016-04-26 14:44:54,FALSE,FALSE,"delightfullyjef","Buffalo, NY","en","724972526963662848",0,FALSE,"http://pbs.twimg.com/profile_images/1047662067627560961/NIlcWkGv_normal.jpg"
"MetaphoricalWig","I watch YouTube way too much but I don’t care.",782,244,4958,136,NA,"Shanes Metaphorical Wig",2018-01-01 00:21:56,FALSE,FALSE,"MetaphoricalWig","Titanic","en","947623890364321793",4,FALSE,"http://pbs.twimg.com/profile_images/1090564234264621056/I_VGpoc9_normal.jpg"
"ObsidianOceans","| 19 | uncw ‘22 | durango <U+0001F982>",2884,173,15185,222,"https://t.co/E1TSru3Zh1","Maritza Irené <U+0001F1F2><U+0001F1FD>",2014-12-03 13:13:10,FALSE,FALSE,"ObsidianOceans","United States","en","2903763316",0,FALSE,"http://pbs.twimg.com/profile_images/1100661986550009856/Ba-Yt4IX_normal.jpg"
"NathanBrazil650","Writer and Programmer and Marvel Nerd.

Poems/Prompts @ https://t.co/SsPiTQwGFw",13518,8921,56378,8419,NA,"Nathan Brazil - not sane yet",2018-03-02 03:49:26,FALSE,FALSE,"NathanBrazil650","California, USA","en","969419383876415488",62,FALSE,"http://pbs.twimg.com/profile_images/998766799125602305/AQGmDkt6_normal.jpg"
"Cherry_Kushh","",31035,361,9535,166,NA,"cherry.",2011-10-12 00:39:11,FALSE,FALSE,"Cherry_Kushh","Boston, MA","en","389186676",3,FALSE,"http://pbs.twimg.com/profile_images/1043859902840664069/UJktIkuh_normal.jpg"
"love_diverse","Showcasing diverse romance! Newsletter: https://t.co/kTAgrtRNiL
There’s a promo opportunity open to all you wonderful authors!
https://t.co/MpBcCLjEkc",1175,272,1354,360,"https://t.co/wFBOjOe5z4","I Love Diverse Romance",2018-08-25 23:27:26,FALSE,FALSE,"love_diverse","United States","en","1033496099175194624",2,FALSE,"http://pbs.twimg.com/profile_images/1103253517224079361/nRF5MLtR_normal.png"
"1DsAvenger","If you want to learn what someone fears losing, watch what they photograph.",5194,6843,18761,6915,"https://t.co/agpEGYd5ON","Blank_One",2018-07-02 22:41:16,FALSE,FALSE,"1DsAvenger","Mars ","en","1013915536156184576",39,FALSE,"http://pbs.twimg.com/profile_images/1103311497021833216/OgwqcG-T_normal.jpg"
"ese_afa","Health",362,55,589,621,NA,"Rich Afa'ese",2018-09-11 14:34:29,FALSE,FALSE,"ese_afa","United States","en","1039522572482867200",0,FALSE,"http://pbs.twimg.com/profile_images/1039984625085554694/P30cPfT4_normal.jpg"
"roseliarade","lemon, 22, she/her, <U+2649> — video games are really important to me! — please see the link byf! <U+0001F33C><U+0001F49B><U+0001F308>",36663,45,103608,50,"https://t.co/TXTxvm3EL3","<U+0001F34B> @ aceatt",2016-06-09 03:16:32,FALSE,FALSE,"roseliarade","Canada","en","740744358270373888",5,FALSE,"http://pbs.twimg.com/profile_images/1095171359930372096/L_FtNUSs_normal.jpg"
"wordless_poetry","the future is now. make shit happen

<U+264F> <U+0001F3F3><U+FE0F><U+200D><U+0001F308>",10265,759,18308,609,NA,"a.",2013-02-22 02:34:19,FALSE,FALSE,"wordless_poetry","Chicago ","en","1206591272",1,FALSE,"http://pbs.twimg.com/profile_images/1102301064597028864/ogDCDxmO_normal.jpg"
"despairdriven","<U+2728>CJ<U+2728>22<U+2728>they/them<U+2728>Cosplayer<U+2728><U+0001F331><U+0001F432><U+2728><U+0001F49C>@narmbo<U+0001F49C> The Rats Are In.",65266,811,56038,751,"https://t.co/67D0NvW2rg","TENN RAT RETURNS",2013-07-26 19:29:53,FALSE,FALSE,"despairdriven","Rat City","en","1623669630",8,FALSE,"http://pbs.twimg.com/profile_images/1097584730223063043/LPA2LqPo_normal.jpg"
"Myschief","living with Lupus for 17 yrs now and winning the battle. <U+0001F49C><U+0001F49C>Writer of Adult Entertainment <U+0001F608><U+0001F608> wishes trump would deport himself.",4421,750,6403,1371,NA,"Myschief",2009-01-07 09:14:13,FALSE,FALSE,"Myschief","Charleston, SC","en","18716161",1,FALSE,"http://pbs.twimg.com/profile_images/206589071/butterscotch_normal.jpg"
"viberayt","just a guy who believes in magic and is trying to spread the love around. also I really love dubstep.",7052,520,7649,553,"https://t.co/ZOARSUPH0D","oscar",2012-10-23 17:29:52,FALSE,FALSE,"viberayt","Indiana, USA","en","900278251",0,FALSE,"http://pbs.twimg.com/profile_images/1094306163347374081/9QrYWKGy_normal.jpg"
"tayy1x","#Famu<U+0001F40D> | IG: Tayy.1x | TorQue<U+0001F480><U+0001F380> | NCNW<U+0001F49C>",29212,2506,23249,2936,NA,"Lilly<U+0001F9DA><U+0001F3FD><U+200D><U+2640><U+FE0F>",2013-06-08 01:22:07,FALSE,FALSE,"tayy1x","Tallahassee, FL","en","1491703135",8,FALSE,"http://pbs.twimg.com/profile_images/1092994572899241989/RBsUY5IX_normal.jpg"
"tallandtilted","hello welcome to the hell that is my inner dialogue. it can’t rain all the time. professor finesser. aries. leo rising. scorpio moon. sc: hopie_soapie",6297,101,13258,222,NA,"hope(less)",2018-07-01 01:14:37,FALSE,FALSE,"tallandtilted","Fairview Heights, IL","en","1013229354292334592",0,FALSE,"http://pbs.twimg.com/profile_images/1102846317192245248/Q2cMuujB_normal.jpg"
"KairuForFun","i do art things.WE MAKING MAC & CHEESE IN HERE: https://t.co/YjAHVnhi4k",2283,186,1851,55,"https://t.co/Elit0SusgD","Kaichi",2017-05-17 14:28:04,FALSE,FALSE,"KairuForFun","Location","en","864850008742387713",2,FALSE,"http://pbs.twimg.com/profile_images/1103458016337092608/EFFtjV1g_normal.jpg"
"thegracekellly","",119,54,96,109,NA,"Grace Kelly",2016-04-13 02:24:55,FALSE,FALSE,"thegracekellly","Massachusetts, USA","en","720075261891379201",0,FALSE,"http://pbs.twimg.com/profile_images/1068953808695373825/Pz0-R6Qu_normal.jpg"
"BestIsBlessed","Im addicted to sound, nature and numbers. Dream Chasing @ UGA. #mechanicalengineering #musicproduction",5074,449,3276,596,"https://t.co/OVMJ1xvpWF","ZachariahThaGreat",2012-10-22 00:21:12,FALSE,FALSE,"BestIsBlessed","Athens, GA","en","896409948",0,FALSE,"http://pbs.twimg.com/profile_images/1061657768128593921/S8X3wVUT_normal.jpg"
"LJOpinionsViews","<U+0001F48B><U+0001F338>#Resist<U+0001F338><U+0001F48B> #Equality for all #ProtectMueller. This <U+0001F30E> is better without the hate that Trump injects.",3766,864,11016,1423,NA,"LJ",2016-11-16 05:28:30,FALSE,FALSE,"LJOpinionsViews","Anytown, USA","en","798759629672960000",0,FALSE,"http://pbs.twimg.com/profile_images/1049903793096286213/_tVS3fg0_normal.jpg"
"da_mammaberr","random. goofy. intelligent. what? you were expecting more? I think not. INTJ yes, I’m dissecting your mind. I follow back all except porn accts/dick avis.",12990,1521,17638,1464,"https://t.co/W6PPV3YM5E","Lilly...the Mamabear <U+0001F43B>",2008-03-17 21:49:39,FALSE,FALSE,"da_mammaberr","Texas, USA","en","14166182",10,FALSE,"http://pbs.twimg.com/profile_images/1103727264863272960/krGeCzk0_normal.jpg"
"Faisalbilal3394","",3691,589,28125,2846,NA,"Faisal Bilal <U+0641><U+06CC><U+0635><U+0644> <U+0628><U+0644><U+0627><U+0644><U+23FA>",2017-05-17 13:01:34,FALSE,FALSE,"Faisalbilal3394","Kashmir","en","864828239679594502",3,FALSE,"http://pbs.twimg.com/profile_images/1097546575855931394/3p6NKBCB_normal.jpg"
"drunkonbrett","Brett Eldredge • OTH • Jonas Brothers • Luke Bryan • Luke Combs",83177,1359,236,72,NA,"susan",2016-02-14 00:49:46,FALSE,FALSE,"drunkonbrett","North Carolina","en","4906714403",43,FALSE,"http://pbs.twimg.com/profile_images/1103381718319403008/fAmna0zN_normal.jpg"
"HarborZz","Just a guy on the stream grind. Stop by and drop a follow",46,6,46,50,"https://t.co/fweqLHV9Fq","Ricky",2019-02-26 05:38:04,FALSE,FALSE,"HarborZz","Richmond, VA","en","1100268742133645312",0,FALSE,"http://pbs.twimg.com/profile_images/1100270207979974656/bmLtUu6q_normal.jpg"
"Team_SMSD1","DC, Playstation - Programmer Sumitomo/Zimmer/Hiroyuki “Stan” RBX & BLENDER| <U+0001F437><U+0001F409><U+0001F1EF><U+0001F1F2> - Mute: #SpoilMeBroly #SpoilMeHunter #SpoilMeJoJo Avi by - ???",93024,410,83633,0,NA,"TEAM SMSD {Cultured Swine}",2016-12-23 04:03:39,FALSE,FALSE,"Team_SMSD","E","en","812146626735337472",15,FALSE,"http://pbs.twimg.com/profile_images/1085721520192729088/vhEaSgwA_normal.jpg"
"Team_SMSD2","DC, Playstation - Programmer Sumitomo/Zimmer/Hiroyuki “Stan” RBX & BLENDER| <U+0001F437><U+0001F409><U+0001F1EF><U+0001F1F2> - Mute: #SpoilMeBroly #SpoilMeHunter #SpoilMeJoJo Avi by - ???",93024,410,83633,0,NA,"TEAM SMSD {Cultured Swine}",2016-12-23 04:03:39,FALSE,FALSE,"Team_SMSD","E","en","812146626735337472",15,FALSE,"http://pbs.twimg.com/profile_images/1085721520192729088/vhEaSgwA_normal.jpg"
"JASutton20","like always I’m just workin my life away, only god knows where I'll be! I don’t need anyone, life’s took so many what’s left to take!",2323,165,1772,189,NA,"Joseph Sutton",2012-12-18 03:58:09,FALSE,FALSE,"JASutton20","United States","en","1018931718",4,FALSE,"http://pbs.twimg.com/profile_images/1051987994918510592/GQ6Iw_lD_normal.jpg"
"Andrealianma","Vancouverite <U+0001F1E8><U+0001F1E6> who put a career on hold to explore, and now I tell stories » Insights on Instagram and Medium @AndreaLianMa » Travel more spend less »",4857,1303,3125,1635,"https://t.co/iB4ZMFQMkK","Andrea Lian Ma",2011-10-15 21:15:05,FALSE,FALSE,"Andrealianma","Vancouver, BC, Canada","en","391622185",104,FALSE,"http://pbs.twimg.com/profile_images/1054523226498297856/CMNYERVI_normal.jpg"
"Mimi_088","So you know this guy @JakeA384? I made him do it.",52755,548,17182,691,NA,"Mimi",2009-03-21 01:59:56,FALSE,FALSE,"Mimi_088","Canada","en","25620385",15,FALSE,"http://pbs.twimg.com/profile_images/1020488464968634368/PE9fd3d6_normal.jpg"
"k3llycakes","video game + sports + true crime enthusiast. dino tea party mod. THINGS: itsk3llycakes@gmail.com",29973,838,22281,1029,"https://t.co/a9kV5uJRZl","k3llycakes <U+2728>",2009-03-26 18:14:36,FALSE,FALSE,"k3llycakes","nashville","en","26809121",18,FALSE,"http://pbs.twimg.com/profile_images/1072154344483708928/5L5sPPOt_normal.jpg"
"hotstuff_bea","PGY-clueless• worship DRUMMER• Riddle wrapped in a mystery• Retired Smart-mouth, mostly invisible•",96167,1479,7126,840,NA,"Rachael bea",2010-08-28 13:21:44,FALSE,FALSE,"hotstuff_bea","Medicine floor","en","184012283",14,FALSE,"http://pbs.twimg.com/profile_images/1103044222767239168/BMafY7fz_normal.jpg"
"CrossStCroix","Eternal optimist. Entrepreneur. Geek. Dork.",481,27,356,14,NA,"Cross St. Croix",2010-12-08 01:05:46,FALSE,FALSE,"CrossStCroix","Cobb County, GA","en","224048110",2,FALSE,"http://pbs.twimg.com/profile_images/485176325703872512/QD1bb4Yy_normal.jpeg"
"jamiejamieadams","19 | criminology | <U+0001F634>chill tf out",7877,411,39564,286,NA,"dainty jamie<U+2728>",2014-08-30 03:52:44,FALSE,FALSE,"jamiejamieadams","Brunswick, OH","en","2755411887",1,FALSE,"http://pbs.twimg.com/profile_images/1101348586435022848/-y69jAt__normal.jpg"
"ejscaramozzino","",11408,355,4197,337,NA,"Emma",2012-06-13 21:09:25,FALSE,FALSE,"ejscaramozzino","New York","en","607552571",0,FALSE,"http://pbs.twimg.com/profile_images/906896004276015104/OpqzEcue_normal.jpg"
"HaikuDiva","Writer, sage. #Compassion my calling. Fighting #Cult45's agenda. Shaman, Reiki Master, clergy; trained as peer counselor. Ravenclaw.

Formerly @Dragonheartsong.",7549,1449,116227,2042,NA,"Dragonheart <U+2764> ""I choose to Love fearlessly!""",2018-03-06 15:02:31,FALSE,FALSE,"HaikuDiva","Cosmos","en","971038319013441542",5,FALSE,"http://pbs.twimg.com/profile_images/1037865981316460546/VWqWtCa9_normal.jpg"
"PrettyRuby17","Mommy Of 3 Handsome Boys<U+0001F970><U+0001F499><U+0001F499><U+0001F499>Sc: RubyShantee Ig:ruby_shantee",67902,2748,3082,2645,NA,"Ruby<U+2728><U+0001F49C>",2013-05-07 20:20:53,FALSE,FALSE,"PrettyRuby17","Macon,GA","en","1411157431",4,FALSE,"http://pbs.twimg.com/profile_images/1100644456024498177/5dUInz7B_normal.jpg"
"AbrahamMor3","Overflowing with harmless filth. A fully grown, random, monster idea generating machine.",10191,331,6439,478,"https://t.co/rqZYb7PF00","<U+0001F680>Gooddayeve<U+0001F51C>",2017-06-17 01:56:04,FALSE,FALSE,"AbrahamMor3","the balmy shores of Ice, Ohio","en","875894783868325888",5,FALSE,"http://pbs.twimg.com/profile_images/1104183562344058881/8qzTfeIa_normal.jpg"
"MissMaes2cents","I have been to a few places, seen a few things but, I have never seen the righteous forsaken or his seed begging bread.",11224,162,38825,1438,NA,"M Bingham",2010-02-19 12:23:20,FALSE,FALSE,"MissMaes2cents","Central FL","en","115650444",0,FALSE,"http://pbs.twimg.com/profile_images/1750845742/image_normal.jpg"
"karleydraws","hi!! she/her • im an Illustrator for my school's magazine and I just want chocolate • pan/poly pride <U+0001F499><U+0001F493><U+0001F5A4> work inquiries: karleydraws@gmail.com",1789,43,1475,198,"https://t.co/4OIgYJoWuX","Karley bear @ I fucking love my wife",2014-12-30 05:02:36,FALSE,FALSE,"karleydraws","Washington, USA","en","2951476874",1,FALSE,"http://pbs.twimg.com/profile_images/1089227548242800640/3msoRz_C_normal.jpg"
"dreadre17","I like electro I like retro I like ghetto House and techno<U+0001F913>",4483,162,4537,305,NA,"Andrea",2017-01-10 00:49:10,FALSE,FALSE,"dreadre17","California, USA","en","818620664638603264",0,FALSE,"http://pbs.twimg.com/profile_images/1082489555163394048/tjEj3slo_normal.jpg"
"courtneylivin","Writer, Teacher, Travel ‘grammer <U+0001F30E> <U+2708><U+FE0F> 
<U+2764><U+FE0F><U+26AA><U+FE0F><U+0001F499>
<U+0001F4CD>Currently in China
<U+2600><U+FE0F>Made in Florida
Find me on Insta <U+2B07><U+FE0F>",2182,1631,1794,1239,"https://t.co/lIEOVTlGNk","Courtney Livingston",2015-01-23 00:13:24,FALSE,FALSE,"courtneylivin","Orlando","en","2993281763",38,FALSE,"http://pbs.twimg.com/profile_images/1022400608895098880/8D58bRYz_normal.jpg"
"rowaniish","Tired of school but I want a Maserati <U+0001F339> <U+0661><U+0669><U+0660><U+0667>",8800,1256,851,192,NA,"<U+0661><U+0664>",2014-12-03 02:43:13,FALSE,FALSE,"rowaniish","USA ","en","2917092588",2,FALSE,"http://pbs.twimg.com/profile_images/1050610706729451520/s-dVfQs9_normal.jpg"
"Shydaee_","21 <U+0001F37E> Scorpio <U+264F><U+FE0F> Snapchat : dae.dae10 Insta : Shydaee_ <U+2764><U+FE0F>",13304,1181,16075,1121,NA,"<U+0001F48B>",2011-12-31 02:01:37,FALSE,FALSE,"Shydaee_","South Bend, IN","en","451111303",3,FALSE,"http://pbs.twimg.com/profile_images/1094982006633611264/jJPL9RaI_normal.jpg"
"Julianaxjuarez","el amor no es prohibido<U+0001F3F3><U+FE0F><U+200D><U+0001F308> you’re lame if you read this, k bye , only living because I have to <U+0001F937><U+0001F3FB><U+200D><U+2640><U+FE0F> they’re my fathers if you’re wondering",5005,303,5568,167,NA,"<U+0001F9FD> really pale latina garbage",2015-07-08 09:30:50,FALSE,FALSE,"Julianaxjuarez","Beantown, MA ","en","3271734908",0,FALSE,"http://pbs.twimg.com/profile_images/1099764538885500929/UEGz0ias_normal.jpg"
"JessDealy","",674,149,441,215,NA,"Jessica Dealy",2011-07-31 00:42:22,FALSE,FALSE,"JessDealy","Brooklyn, NY","en","345681692",3,FALSE,"http://pbs.twimg.com/profile_images/1473562019/image_normal.jpg"
"alexis_rychele",".. #dijonstrong <U+2764><U+FE0F> #lexxgang <U+0001F91E><U+0001F3FE><U+2728>",27497,17841,37764,591,"https://t.co/MTPxgGTU9Z","biigg lexx<U+0001F308><U+0001F49B>",2013-10-15 20:45:04,FALSE,FALSE,"alexis_rychele","Fort Wayne, IN","en","1963393975",9,FALSE,"http://pbs.twimg.com/profile_images/1100779982027141120/Fl1HofdG_normal.jpg"
"PhaniMamilety","RTs/likes Dont Imply Endorsements.",2057,17,1057,103,NA,"Phani",2014-10-08 18:01:57,FALSE,FALSE,"PhaniMamilety","Toronto, Canada","en","2816192987",0,FALSE,"http://pbs.twimg.com/profile_images/593781878642974720/TiR4Co6C_normal.png"
"Goddess_Milan","25 years young. Upcoming Model and Soon to be Business Owner.. April 1st, 2016 the day my Angel went to Heaven, my Grandad",13813,1353,3710,2951,NA,"Milan Nina",2012-02-10 21:42:45,FALSE,FALSE,"Goddess_Milan","Miami, FL","en","488817785",7,FALSE,"http://pbs.twimg.com/profile_images/970435282825809921/ysFYTz7G_normal.jpg"
